fund_name,levene_pvalue,is_homoscedastic,box_cox_lambda,transformation_applied
Pictet Timber P USD,0.013682267815281321,False,0.7415194665826894,True
Pictet Timber R USD,0.013654862673177831,False,0.7414832918114287,True
Polar Long/Short Fund,0.00037721115247236423,False,0.7024544564652018,True
Polar Multi-Strategy Fund,0.005379813524421546,False,0.7364538292834628,True
PSAM Rebound Fund Ltd.,0.8110270953413673,True,,False
PSAM Rebound Partners L.P.,0.8023365490525305,True,,False
PSAM WorldArb Fund Limited,0.5025587277382699,True,,False
"PSAM WorldArb Partners, L.P.",0.495775626148788,True,,False
PSCO Partners L.P. Fund,0.23973366282281278,True,,False
RAM (Lux) Systematic Funds - North American Equities USD B,0.07189275173821111,True,,False
RAM (Lux) Systematic Funds European Equities EUR Class (B),0.37794695984492455,True,,False
Real Return Asian Fund A GBP,0.007150939472000837,False,0.6913631241368405,True
Real Return Asian Fund B USD,0.007810014396327511,False,0.6743215863242886,True
Real Return Asian Fund C EUR,0.007958417555228735,False,0.7032545149827296,True
Reichmuth Alpin CHF,0.07630102821625544,True,,False
Reichmuth Alpin Classic Share Class P,0.07394767510585401,True,,False
Reichmuth Bottom Fishing EUR,0.6845151085693482,True,,False
Reichmuth Hochalpin CHF,0.661880018913614,True,,False
Reichmuth Pilatus CHF,0.9364483910475183,True,,False
Reindeer Trek L.P,0.0740694122991638,True,,False
"Sandfly Partners, Ltd. ",0.26877319200612737,True,,False
Sandler Associates (Class A-U),0.15345160351580084,True,,False
Sandler Offshore Fund Class (A-U),0.179982381630389,True,,False
"Sandler Plus Domestic Fund, L.P.",0.16223572026366956,True,,False
"Sandler Plus Offshore Fund, Ltd.",0.16184558855466138,True,,False
Schroder ISF Asian Opportunities A Dis USD,0.2683986192197795,True,,False
Schroder ISF Asian Opportunities C Acc EUR,0.9713512921239754,True,,False
Schroder ISF Asian Smaller Companies A Acc USD,0.0028148899041813232,False,0.910555083075256,True
Schroder ISF Asian Smaller Companies C Acc USD,0.0028211204848341983,False,0.9101210468719596,True
Schroder ISF Asian Smaller Companies I Acc USD,0.002819482621402269,False,0.910263157626242,True
Schroder ISF Asian Total Return C Acc EUR,0.08269007827393175,True,,False
Schroder ISF Asian Total Return C Acc USD,0.11728397049874408,True,,False
Schroder ISF Asian Total Return C Dis GBP,0.7214222577383718,True,,False
Schroder ISF Asian Total Return I Acc USD,0.113973564994887,True,,False
Schroder ISF Emerging Markets C Dis USD,0.19687456468206482,True,,False
Schroder ISF Emerging Markets Debt Absolute Return A Acc USD,0.005616330948563956,False,0.655001292926342,True
Sierra Europe L.P. (Without New Issues),0.3910426392485734,True,,False
Sierra Europe Offshore Euro Class D,0.5101772488242392,True,,False
Sierra Europe Offshore USD Class C,0.4670293315191132,True,,False
SM Investors II LP,0.17836168680327227,True,,False
"SM Investors Offshore, Ltd",0.13694987050082055,True,,False
"SM Investors, L.P.",0.18190411210237128,True,,False
"SM Merger/Arbitrage, L.P.",0.3144130421639888,True,,False
Southpaw Credit Opportunity Fund (FTE) Ltd.,0.5377012349087664,True,,False
Sparta Ciclico Fundo De Investimento Multimercado,0.4029045353447043,True,,False
"Spectrum Master Fund, Ltd. ",0.12213006273951779,True,,False
